wafer_id,stage,wafers_remaining,budget_remaining,budget_remaining_after,budget_per_wafer,adjustment,tau_base,tau_adjusted,risk_score,decision,reason
W024,0,68,900,900,13.235294117647058,0.0,0.5773292869333333,0.5773292869333333,0.2937034826666667,pass,normal
W011,0,67,900,900,13.432835820895523,0.0,0.5773292869333333,0.5773292869333333,0.2772137046666666,pass,normal
W022,0,66,900,750,13.636363636363637,0.0,0.5773292869333333,0.5773292869333333,0.6172171406666667,inspect,normal
W021,0,65,750,600,11.538461538461538,0.08,0.5773292869333333,0.623515629888,0.7222282693333333,inspect,low_budget
W019,0,64,600,600,9.375,0.15,0.5773292869333333,0.6639286799733333,0.5795936066666666,pass,critical_budget
W025,0,63,600,600,9.523809523809524,0.15,0.5773292869333333,0.6639286799733333,0.41010783133333334,pass,critical_budget
W018,0,62,600,600,9.67741935483871,0.15,0.5773292869333333,0.6639286799733333,0.41787277266666656,pass,critical_budget
W003,0,61,600,600,9.836065573770492,0.15,0.5773292869333333,0.6639286799733333,0.2797367066666666,pass,critical_budget
W012,0,60,600,600,10.0,0.08,0.5773292869333333,0.623515629888,0.546539414,pass,low_budget
W018,0,59,600,600,10.169491525423728,0.08,0.5773292869333333,0.623515629888,0.13206907333333331,pass,low_budget
W005,0,58,600,600,10.344827586206897,0.08,0.5773292869333333,0.623515629888,0.030116176,pass,low_budget
W011,0,57,600,450,10.526315789473685,0.08,0.5773292869333333,0.623515629888,0.6956413186666667,inspect,low_budget
W012,0,56,450,450,8.035714285714286,0.15,0.5773292869333333,0.6639286799733333,0.15127311666666662,pass,critical_budget
W007,0,55,450,450,8.181818181818182,0.15,0.5773292869333333,0.6639286799733333,0.16024566666666662,pass,critical_budget
W010,0,54,450,450,8.333333333333334,0.15,0.5773292869333333,0.6639286799733333,0.5277366566666666,pass,critical_budget
W024,0,53,450,450,8.49056603773585,0.15,0.5773292869333333,0.6639286799733333,0.521920972,pass,critical_budget
W015,0,52,450,450,8.653846153846153,0.15,0.5773292869333333,0.6639286799733333,0.49951402,pass,critical_budget
W017,0,51,450,450,8.823529411764707,0.15,0.5773292869333333,0.6639286799733333,0.5772855573333333,pass,critical_budget
W016,0,50,450,450,9.0,0.15,0.5773292869333333,0.6639286799733333,0.3524165593333333,pass,critical_budget
W005,0,49,450,450,9.183673469387756,0.15,0.5773292869333333,0.6639286799733333,0.09138475333333332,pass,critical_budget
W003,0,48,450,450,9.375,0.15,0.5773292869333333,0.6639286799733333,0.20511588933333325,pass,critical_budget
W011,0,47,450,450,9.574468085106384,0.15,0.5773292869333333,0.6639286799733333,0.601330976,pass,critical_budget
W009,0,46,450,450,9.782608695652174,0.15,0.5773292869333333,0.6639286799733333,0.4402844466666666,pass,critical_budget
W017,0,45,450,450,10.0,0.08,0.5773292869333333,0.623515629888,0.15379656666666663,pass,low_budget
W003,0,44,450,450,10.227272727272727,0.08,0.5773292869333333,0.623515629888,0.609928488,pass,low_budget
W021,0,43,450,450,10.465116279069768,0.08,0.5773292869333333,0.623515629888,0.5594609733333333,pass,low_budget
W022,0,42,450,450,10.714285714285714,0.08,0.5773292869333333,0.623515629888,0.5060201553333333,pass,low_budget
W012,0,41,450,450,10.975609756097562,0.08,0.5773292869333333,0.623515629888,0.5237724733333333,pass,low_budget
W004,0,40,450,450,11.25,0.08,0.5773292869333333,0.623515629888,0.5358012646666667,pass,low_budget
W007,0,39,450,450,11.538461538461538,0.08,0.5773292869333333,0.623515629888,0.5454357873333333,pass,low_budget
