wafer_id,stage,decision,risk_score,threshold,scheduler_reason,confidence,top_reason_1,top_reason_2,top_reason_3
W006,0,pass,0.5010996086666667,0.623515629888,low_budget,0.0,,,
W008,0,pass,0.2923896099999999,0.5773292869333333,normal,0.0,,,
W007,0,pass,0.344031184,0.5773292869333333,normal,0.0,,,
W016,0,pass,0.2111087566666667,0.5773292869333333,normal,0.0,,,
W007,0,pass,0.5090001486666667,0.5773292869333333,normal,0.0,,,
W002,0,pass,0.11446712133333331,0.5773292869333333,normal,0.0,,,
W021,0,pass,0.14752466933333333,0.5773292869333333,normal,0.0,,,
W016,0,pass,0.1064585866666666,0.5773292869333333,normal,0.0,,,
W024,0,pass,0.17052223666666666,0.5773292869333333,normal,0.0,,,
W014,0,pass,0.565070624,0.5773292869333333,normal,0.0,,,
W010,0,pass,0.556014544,0.5773292869333333,normal,0.0,,,
W006,0,pass,0.402478068,0.5773292869333333,normal,0.0,,,
W008,0,pass,0.48614460666666665,0.5773292869333333,normal,0.0,,,
W009,0,pass,0.25719247666666667,0.5773292869333333,normal,0.0,,,
W014,0,pass,0.53287924,0.5773292869333333,normal,0.0,,,
W004,0,pass,0.5451085846666667,0.5773292869333333,normal,0.0,,,
W006,0,pass,0.236763506,0.5773292869333333,normal,0.0,,,
W011,0,pass,0.30141157333333335,0.5773292869333333,normal,0.0,,,
W021,0,inspect,0.622999036,0.5773292869333333,normal,0.0,,,
W007,0,pass,0.24418157999999995,0.5773292869333333,normal,0.0,,,
W024,0,pass,0.2937034826666667,0.5773292869333333,normal,0.0,,,
W011,0,pass,0.2772137046666666,0.5773292869333333,normal,0.0,,,
W022,0,inspect,0.6172171406666667,0.5773292869333333,normal,0.0,,,
W021,0,inspect,0.7222282693333333,0.623515629888,low_budget,0.0,,,
W019,0,pass,0.5795936066666666,0.6639286799733333,critical_budget,0.0,,,
W025,0,pass,0.41010783133333334,0.6639286799733333,critical_budget,0.0,,,
W018,0,pass,0.41787277266666656,0.6639286799733333,critical_budget,0.0,,,
W003,0,pass,0.2797367066666666,0.6639286799733333,critical_budget,0.0,,,
W012,0,pass,0.546539414,0.623515629888,low_budget,0.0,,,
W018,0,pass,0.13206907333333331,0.623515629888,low_budget,0.0,,,
W005,0,pass,0.030116176,0.623515629888,low_budget,0.0,,,
W011,0,inspect,0.6956413186666667,0.623515629888,low_budget,0.0,,,
W012,0,pass,0.15127311666666662,0.6639286799733333,critical_budget,0.0,,,
W007,0,pass,0.16024566666666662,0.6639286799733333,critical_budget,0.0,,,
W010,0,pass,0.5277366566666666,0.6639286799733333,critical_budget,0.0,,,
W024,0,pass,0.521920972,0.6639286799733333,critical_budget,0.0,,,
W015,0,pass,0.49951402,0.6639286799733333,critical_budget,0.0,,,
W017,0,pass,0.5772855573333333,0.6639286799733333,critical_budget,0.0,,,
W016,0,pass,0.3524165593333333,0.6639286799733333,critical_budget,0.0,,,
W005,0,pass,0.09138475333333332,0.6639286799733333,critical_budget,0.0,,,
W003,0,pass,0.20511588933333325,0.6639286799733333,critical_budget,0.0,,,
W011,0,pass,0.601330976,0.6639286799733333,critical_budget,0.0,,,
W009,0,pass,0.4402844466666666,0.6639286799733333,critical_budget,0.0,,,
W017,0,pass,0.15379656666666663,0.623515629888,low_budget,0.0,,,
W003,0,pass,0.609928488,0.623515629888,low_budget,0.0,,,
W021,0,pass,0.5594609733333333,0.623515629888,low_budget,0.0,,,
W022,0,pass,0.5060201553333333,0.623515629888,low_budget,0.0,,,
W012,0,pass,0.5237724733333333,0.623515629888,low_budget,0.0,,,
W004,0,pass,0.5358012646666667,0.623515629888,low_budget,0.0,,,
W007,0,pass,0.5454357873333333,0.623515629888,low_budget,0.0,,,
W012,0,pass,0.20081554599999996,0.623515629888,low_budget,0.0,,,
W014,0,pass,0.544409404,0.5773292869333333,normal,0.0,,,
W013,0,pass,0.23667872866666664,0.5773292869333333,normal,0.0,,,
W009,0,pass,0.34685898066666665,0.5773292869333333,normal,0.0,,,
W016,0,inspect,0.5946713326666666,0.5773292869333333,normal,0.0,,,
W024,0,pass,0.02903226666666664,0.6639286799733333,critical_budget,0.0,,,
W009,0,pass,0.5357133433333333,0.6639286799733333,critical_budget,0.0,,,
W003,0,pass,0.5504890226666667,0.6639286799733333,critical_budget,0.0,,,
W022,0,pass,0.23322996133333332,0.623515629888,low_budget,0.0,,,
W012,0,pass,0.21472454666666663,0.623515629888,low_budget,0.0,,,
W018,0,pass,0.5187220006666666,0.623515629888,low_budget,0.0,,,
W011,0,pass,0.5369577433333333,0.623515629888,low_budget,0.0,,,
W009,0,pass,0.5826934726666666,0.623515629888,low_budget,0.0,,,
W025,0,pass,0.45956312199999994,0.5773292869333333,normal,0.0,,,
W018,0,pass,0.255186788,0.5773292869333333,normal,0.0,,,
W015,0,pass,0.23138644999999994,0.5773292869333333,normal,0.0,,,
W019,0,pass,0.34923715733333327,0.5773292869333333,normal,0.0,,,
W010,0,inspect,0.5870435533333332,0.5773292869333333,normal,0.0,,,
W003,0,pass,0.3200291966666665,0.6639286799733333,critical_budget,0.0,,,
W013,0,pass,0.5561021953333334,0.6639286799733333,critical_budget,0.0,,,
W023,0,pass,0.05918853266666661,0.6639286799733333,critical_budget,0.0,,,
W008,0,pass,0.28025110733333336,0.6639286799733333,critical_budget,0.0,,,
W011,0,pass,0.059434313333333266,0.6639286799733333,critical_budget,0.0,,,
W023,0,pass,0.5397939293333334,0.623515629888,low_budget,0.0,,,
W019,0,pass,0.24036908199999996,0.623515629888,low_budget,0.0,,,
W024,0,pass,0.3470877406666666,0.623515629888,low_budget,0.0,,,
W011,0,pass,0.17215734599999996,0.5773292869333333,normal,0.0,,,
W001,0,pass,0.45927785333333326,0.5773292869333333,normal,0.0,,,
W007,0,pass,0.4878702406666666,0.5773292869333333,normal,0.0,,,
W001,0,pass,0.517693264,0.5773292869333333,normal,0.0,,,
W003,0,inspect,0.5533334433333335,0.5484628225866666,budget_surplus,0.0,,,
W011,0,pass,0.22967895333333327,0.6639286799733333,critical_budget,0.0,,,
W003,0,pass,0.22307039533333334,0.6639286799733333,critical_budget,0.0,,,
W021,0,pass,0.346614504,0.6639286799733333,critical_budget,0.0,,,
W021,0,pass,0.6549096806666667,0.6639286799733333,critical_budget,0.0,,,
W018,0,pass,0.4854121733333333,0.6639286799733333,critical_budget,0.0,,,
W022,0,pass,0.23344344666666658,0.6639286799733333,critical_budget,0.0,,,
W009,0,pass,0.551406998,0.6639286799733333,critical_budget,0.0,,,
